"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-04-16 00:00:00",39,56,88.42857142857143,
"2019-04-17 00:00:00",41,68,92.42857142857143,
"2019-04-18 00:00:00",51,55,95.14285714285714,
"2019-04-19 00:00:00",31,73,96,
"2019-04-20 00:00:00",51,65,101,
"2019-04-21 00:00:00",42,54,103.57142857142857,
"2019-04-22 00:00:00",52,55,104.71428571428571,
"2019-04-23 00:00:00",37,60,105,
"2019-04-24 00:00:00",33,49,101.14285714285714,
"2019-04-25 00:00:00",29,53,97.71428571428571,
"2019-04-26 00:00:00",30,44,93.42857142857143,
"2019-04-27 00:00:00",39,70,92.42857142857143,
"2019-04-28 00:00:00",39,59,92.71428571428571,
"2019-04-29 00:00:00",53,64,94.14285714285714,
"2019-04-30 00:00:00",27,48,91,
"2019-05-01 00:00:00",45,68,95.42857142857143,
"2019-05-02 00:00:00",37,79,100.28571428571429,
"2019-05-03 00:00:00",48,59,105,
"2019-05-04 00:00:00",31,50,101,
"2019-05-05 00:00:00",30,51,98.57142857142857,
"2019-05-06 00:00:00",42,53,95.42857142857143,
"2019-05-07 00:00:00",28,67,98.28571428571429,
"2019-05-08 00:00:00",43,66,97.71428571428571,
"2019-05-09 00:00:00",49,55,96,
"2019-05-10 00:00:00",32,63,94.28571428571429,
"2019-05-11 00:00:00",39,66,97.71428571428571,
"2019-05-12 00:00:00",31,71,100.71428571428571,
"2019-05-13 00:00:00",37,57,100.57142857142857,
"2019-05-14 00:00:00",38,46,99,
"2019-05-15 00:00:00",32,66,97.42857142857143,
"2019-05-16 00:00:00",35,59,96,
"2019-05-17 00:00:00",44,55,96.57142857142857,
"2019-05-18 00:00:00",40,60,95.85714285714286,
"2019-05-19 00:00:00",31,51,93,
"2019-05-20 00:00:00",38,65,94.28571428571429,
"2019-05-21 00:00:00",28,52,93.71428571428571,
"2019-05-22 00:00:00",31,52,91.57142857142857,
"2019-05-23 00:00:00",25,52,89.14285714285714,
"2019-05-24 00:00:00",51,54,90,
"2019-05-25 00:00:00",33,66,89.85714285714286,
"2019-05-26 00:00:00",43,74,94.85714285714286,
"2019-05-27 00:00:00",39,66,95.14285714285714,
"2019-05-28 00:00:00",35,57,96.85714285714286,
"2019-05-29 00:00:00",39,60,99.14285714285714,
"2019-05-30 00:00:00",36,75,104,
"2019-05-31 00:00:00",42,53,102.57142857142857,
"2019-06-01 00:00:00",40,56,102.14285714285714,
"2019-06-02 00:00:00",39,67,100.57142857142857,
"2019-06-03 00:00:00",30,72,100.14285714285714,
"2019-06-04 00:00:00",35,74,102.57142857142857,
"2019-06-05 00:00:00",38,75,104.57142857142857,
"2019-06-06 00:00:00",39,49,101.28571428571429,
"2019-06-07 00:00:00",36,60,101.42857142857143,
"2019-06-08 00:00:00",45,67,103.71428571428571,
"2019-06-09 00:00:00",32,58,101.42857142857143,
"2019-06-10 00:00:00",47,67,103.14285714285714,
"2019-06-11 00:00:00",39,60,101.71428571428571,
"2019-06-12 00:00:00",32,54,97.85714285714286,
"2019-06-13 00:00:00",36,57,98.57142857142857,
"2019-06-14 00:00:00",37,55,98,
"2019-06-15 00:00:00",31,57,94.57142857142857,
"2019-06-16 00:00:00",31,74,96.71428571428571,
"2019-06-17 00:00:00",27,50,91.42857142857143,
"2019-06-18 00:00:00",34,50,89.28571428571429,
"2019-06-19 00:00:00",29,62,90,
"2019-06-20 00:00:00",38,50,89.28571428571429,
"2019-06-21 00:00:00",31,56,88.57142857142857,
"2019-06-22 00:00:00",37,47,88,
"2019-06-23 00:00:00",29,52,84.57142857142857,
"2019-06-24 00:00:00",39,84,91.14285714285714,
"2019-06-25 00:00:00",35,69,94,
"2019-06-26 00:00:00",36,64,95.28571428571429,
"2019-06-27 00:00:00",31,49,94.14285714285714,
"2019-06-28 00:00:00",38,58,95.42857142857143,
"2019-06-29 00:00:00",30,61,96.42857142857143,
"2019-06-30 00:00:00",42,64,100,
"2019-07-01 00:00:00",43,63,97.57142857142857,
"2019-07-02 00:00:00",32,48,94.14285714285714,
"2019-07-03 00:00:00",38,68,95,
"2019-07-04 00:00:00",51,54,98.57142857142857,
"2019-07-05 00:00:00",33,69,99.42857142857143,
"2019-07-06 00:00:00",43,60,101.14285714285714,
"2019-07-07 00:00:00",37,54,99,
"2019-07-08 00:00:00",31,55,96.14285714285714,
"2019-07-09 00:00:00",33,58,97.71428571428571,
"2019-07-10 00:00:00",44,54,96.57142857142857,
"2019-07-11 00:00:00",40,58,95.57142857142857,
"2019-07-12 00:00:00",37,68,96,
"2019-07-13 00:00:00",36,60,95,
"2019-07-14 00:00:00",41,54,95.57142857142857,
"2019-07-15 00:00:00",43,51,96.71428571428571,
"2019-07-16 00:00:00",32,58,96.57142857142857,
"2019-07-17 00:00:00",34,53,95,
"2019-07-18 00:00:00",28,54,92.71428571428571,
"2019-07-19 00:00:00",33,56,90.42857142857143,
"2019-07-20 00:00:00",39,50,89.42857142857143,
"2019-07-21 00:00:00",31,61,89,
"2019-07-22 00:00:00",38,61,89.71428571428571,
"2019-07-23 00:00:00",28,50,88,
"2019-07-24 00:00:00",31,56,88,
"2019-07-25 00:00:00",33,65,90.28571428571429,
"2019-07-26 00:00:00",27,60,90,
"2019-07-27 00:00:00",27,47,87.85714285714286,
"2019-07-28 00:00:00",33,48,86.28571428571429,
"2019-07-29 00:00:00",34,57,85.14285714285714,
"2019-07-30 00:00:00",43,54,87.85714285714286,
"2019-07-31 00:00:00",29,54,87.28571428571429,
"2019-08-01 00:00:00",48,63,89.14285714285714,
"2019-08-02 00:00:00",28,58,89,
"2019-08-03 00:00:00",34,61,92,
"2019-08-04 00:00:00",37,70,95.71428571428571,
"2019-08-05 00:00:00",26,63,95.42857142857143,
"2019-08-06 00:00:00",38,60,95.57142857142857,
"2019-08-07 00:00:00",38,57,97.28571428571429,
"2019-08-08 00:00:00",40,58,95.42857142857143,
"2019-08-09 00:00:00",44,60,98,
"2019-08-10 00:00:00",31,62,97.71428571428571,
"2019-08-11 00:00:00",40,47,94.85714285714286,
"2019-08-12 00:00:00",35,50,94.28571428571429,
"2019-08-13 00:00:00",30,62,93.42857142857143,
"2019-08-14 00:00:00",34,54,92.42857142857143,
"2019-08-15 00:00:00",41,47,91,
"2019-08-16 00:00:00",21,60,87.71428571428571,
"2019-08-17 00:00:00",39,68,89.71428571428571,
"2019-08-18 00:00:00",33,57,90.14285714285714,
"2019-08-19 00:00:00",34,53,90.42857142857143,
"2019-08-20 00:00:00",26,51,88.28571428571429,
"2019-08-21 00:00:00",29,63,88.85714285714286,
"2019-08-22 00:00:00",29,50,87.57142857142857,
"2019-08-23 00:00:00",40,55,89.57142857142857,
"2019-08-24 00:00:00",39,56,87.85714285714286,
"2019-08-25 00:00:00",40,60,89.28571428571429,
"2019-08-26 00:00:00",31,58,89.57142857142857,
"2019-08-27 00:00:00",38,61,92.71428571428571,
"2019-08-28 00:00:00",34,63,93.42857142857143,
"2019-08-29 00:00:00",41,63,97,
"2019-08-30 00:00:00",36,62,97.42857142857143,
"2019-08-31 00:00:00",23,51,94.42857142857143,
"2019-09-01 00:00:00",41,47,92.71428571428571,
"2019-09-02 00:00:00",39,67,95.14285714285714,
"2019-09-03 00:00:00",34,48,92.71428571428571,
"2019-09-04 00:00:00",32,60,92,
"2019-09-05 00:00:00",35,57,90.28571428571429,
"2019-09-06 00:00:00",33,63,90,
"2019-09-07 00:00:00",29,55,91.42857142857143,
"2019-09-08 00:00:00",36,38,89.42857142857143,
"2019-09-09 00:00:00",24,63,86.71428571428571,
"2019-09-10 00:00:00",43,49,88.14285714285714,
"2019-09-11 00:00:00",31,55,87.28571428571429,
"2019-09-12 00:00:00",30,65,87.71428571428571,
"2019-09-13 00:00:00",36,59,87.57142857142857,
"2019-09-14 00:00:00",43,68,91.42857142857143,
"2019-09-15 00:00:00",32,53,93,
"2019-09-16 00:00:00",47,56,95.28571428571429,
"2019-09-17 00:00:00",33,47,93.57142857142857,
"2019-09-18 00:00:00",25,73,95.28571428571429,
"2019-09-19 00:00:00",29,67,95.42857142857143,
"2019-09-20 00:00:00",33,60,95.14285714285714,
"2019-09-21 00:00:00",34,58,92.42857142857143,
"2019-09-22 00:00:00",40,51,93.28571428571429,
"2019-09-23 00:00:00",33,54,91,
"2019-09-24 00:00:00",35,53,92.14285714285714,
"2019-09-25 00:00:00",25,43,87.85714285714286,
"2019-09-26 00:00:00",37,70,89.42857142857143,
"2019-09-27 00:00:00",28,49,87.14285714285714,
"2019-09-28 00:00:00",46,60,89.14285714285714,
"2019-09-29 00:00:00",35,58,89.42857142857143,
"2019-09-30 00:00:00",31,59,89.85714285714286,
"2019-10-01 00:00:00",28,57,89.42857142857143,
"2019-10-02 00:00:00",30,48,90.85714285714286,
"2019-10-03 00:00:00",26,42,85.28571428571429,
"2019-10-04 00:00:00",22,58,85.71428571428571,
"2019-10-05 00:00:00",36,54,83.42857142857143,
"2019-10-06 00:00:00",34,53,82.57142857142857,
"2019-10-07 00:00:00",23,58,81.28571428571429,
"2019-10-08 00:00:00",34,54,81.71428571428571,
"2019-10-09 00:00:00",34,53,83,
"2019-10-10 00:00:00",25,55,84.71428571428571,
"2019-10-11 00:00:00",31,55,85.57142857142857,
"2019-10-12 00:00:00",37,34,82.85714285714286,
"2019-10-13 00:00:00",26,56,82.14285714285714,
"2019-10-14 00:00:00",46,66,86.57142857142857,
"2019-10-15 00:00:00",33,66,88.14285714285714,
"2019-10-16 00:00:00",35,62,89.57142857142857,
"2019-10-17 00:00:00",32,61,91.42857142857143,
"2019-10-18 00:00:00",37,62,93.28571428571429,
"2019-10-19 00:00:00",33,54,95.57142857142857,
"2019-10-20 00:00:00",46,57,98.57142857142857,
"2019-10-21 00:00:00",32,59,95.57142857142857,
"2019-10-22 00:00:00",34,53,93.85714285714286,
"2019-10-23 00:00:00",35,50,92.14285714285714,
"2019-10-24 00:00:00",36,62,92.85714285714286,
"2019-10-25 00:00:00",34,49,90.57142857142857,
"2019-10-26 00:00:00",32,60,91.28571428571429,
"2019-10-27 00:00:00",33,44,87.57142857142857,
"2019-10-28 00:00:00",29,52,86.14285714285714,
"2019-10-29 00:00:00",32,51,85.57142857142857,
"2019-10-30 00:00:00",31,67,87.42857142857143,
"2019-10-31 00:00:00",28,41,83.28571428571429,
"2019-11-01 00:00:00",30,53,83.28571428571429,
"2019-11-02 00:00:00",30,55,82.28571428571429,
"2019-11-03 00:00:00",31,44,82,
"2019-11-04 00:00:00",26,51,81.42857142857143,
"2019-11-05 00:00:00",44,54,83.57142857142857,
"2019-11-06 00:00:00",25,48,80,
"2019-11-07 00:00:00",37,57,83.57142857142857,
"2019-11-08 00:00:00",32,57,84.42857142857143,
"2019-11-09 00:00:00",36,51,84.71428571428571,
"2019-11-10 00:00:00",27,45,84.28571428571429,
"2019-11-11 00:00:00",28,57,85.42857142857143,
"2019-11-12 00:00:00",27,65,84.57142857142857,
"2019-11-13 00:00:00",31,58,86.85714285714286,
"2019-11-14 00:00:00",29,44,83.85714285714286,
"2019-11-15 00:00:00",21,37,79.42857142857143,
"2019-11-16 00:00:00",31,45,77.85714285714286,
"2019-11-17 00:00:00",32,54,79.85714285714286,
"2019-11-18 00:00:00",35,34,77.57142857142857,
"2019-11-19 00:00:00",27,44,74.57142857142857,
"2019-11-20 00:00:00",26,54,73.28571428571429,
"2019-11-21 00:00:00",28,39,72.42857142857143,
"2019-11-22 00:00:00",28,36,73.28571428571429,
"2019-11-23 00:00:00",27,55,74.14285714285714,
"2019-11-24 00:00:00",26,53,73.14285714285714,
"2019-11-25 00:00:00",26,39,72.57142857142857,
"2019-11-26 00:00:00",36,49,74.57142857142857,
"2019-11-27 00:00:00",29,55,75.14285714285714,
"2019-11-28 00:00:00",21,58,76.85714285714286,
"2019-11-29 00:00:00",26,52,78.85714285714286,
"2019-11-30 00:00:00",29,52,78.71428571428571,
"2019-12-01 00:00:00",37,42,78.71428571428571,
"2019-12-02 00:00:00",26,54,80.85714285714286,
"2019-12-03 00:00:00",32,48,80.14285714285714,
"2019-12-04 00:00:00",25,53,79.28571428571429,
"2019-12-05 00:00:00",24,46,78,
"2019-12-06 00:00:00",24,27,74.14285714285714,
"2019-12-07 00:00:00",28,50,73.71428571428571,
"2019-12-08 00:00:00",26,56,74.14285714285714,
"2019-12-09 00:00:00",30,46,73.57142857142857,
"2019-12-10 00:00:00",27,38,71.42857142857143,
"2019-12-11 00:00:00",25,41,69.71428571428571,
"2019-12-12 00:00:00",32,53,71.85714285714286,
"2019-12-13 00:00:00",30,55,76.71428571428571,
"2019-12-14 00:00:00",29,60,78.28571428571429,
"2019-12-15 00:00:00",32,60,79.71428571428571,
"2019-12-16 00:00:00",28,38,78.28571428571429,
"2019-12-17 00:00:00",28,56,81,
"2019-12-18 00:00:00",27,42,81.42857142857143,
"2019-12-19 00:00:00",24,47,79.42857142857143,
"2019-12-20 00:00:00",25,55,78.71428571428571,
"2019-12-21 00:00:00",39,43,77.71428571428571,
"2019-12-22 00:00:00",30,50,76,
"2019-12-23 00:00:00",33,55,79.14285714285714,
"2019-12-24 00:00:00",42,55,81,
"2019-12-25 00:00:00",37,59,84.85714285714286,
"2019-12-26 00:00:00",35,61,88.42857142857143,
"2019-12-27 00:00:00",25,46,87.14285714285714,
"2019-12-28 00:00:00",35,59,88.85714285714286,
"2019-12-29 00:00:00",32,43,88.14285714285714,
"2019-12-30 00:00:00",33,49,87.28571428571429,
"2019-12-31 00:00:00",28,52,84.85714285714286,
"2020-01-01 00:00:00",25,69,84.57142857142857,
"2020-01-02 00:00:00",40,46,83.14285714285714,94
"2020-01-03 00:00:00",27,63,85.85714285714286,95
"2020-01-04 00:00:00",24,47,82.57142857142857,88.75
"2020-01-05 00:00:00",38,55,85.14285714285714,87.4
"2020-01-06 00:00:00",36,56,86.57142857142857,86.16666666666667
"2020-01-07 00:00:00",22,44,84.57142857142857,88
"2020-01-08 00:00:00",21,40,79.85714285714286,84.14285714285714
"2020-01-09 00:00:00",30,50,79,82
"2020-01-10 00:00:00",26,56,77.85714285714286,80.57142857142857
"2020-01-11 00:00:00",38,57,81.28571428571429,81.14285714285714
"2020-01-12 00:00:00",23,43,77.42857142857143,80
"2020-01-13 00:00:00",33,40,74.71428571428571,79.14285714285714
"2020-01-14 00:00:00",45,47,78.42857142857143,76.14285714285714
