"DateTime","Number of Cargo Ships","Number of Tanker Ships","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-04-15 00:00:00",22,14,29.571428571428573,
"2019-04-16 00:00:00",15,8,28.571428571428573,
"2019-04-17 00:00:00",18,7,28.428571428571427,
"2019-04-18 00:00:00",11,19,28.571428571428573,
"2019-04-19 00:00:00",19,14,29,
"2019-04-20 00:00:00",20,9,29,
"2019-04-21 00:00:00",21,10,29.571428571428573,
"2019-04-22 00:00:00",13,20,29.142857142857142,
"2019-04-23 00:00:00",12,21,30.571428571428573,
"2019-04-24 00:00:00",23,10,31.714285714285715,
"2019-04-25 00:00:00",23,7,31.714285714285715,
"2019-04-26 00:00:00",25,10,32,
"2019-04-27 00:00:00",25,12,33.142857142857146,
"2019-04-28 00:00:00",23,9,33.285714285714285,
"2019-04-29 00:00:00",17,12,32.714285714285715,
"2019-04-30 00:00:00",12,12,31.428571428571427,
"2019-05-01 00:00:00",17,15,31.285714285714285,
"2019-05-02 00:00:00",15,12,30.857142857142858,
"2019-05-03 00:00:00",22,8,30.142857142857142,
"2019-05-04 00:00:00",18,12,29.142857142857142,
"2019-05-05 00:00:00",14,12,28.285714285714285,
"2019-05-06 00:00:00",18,15,28.857142857142858,
"2019-05-07 00:00:00",15,14,29.571428571428573,
"2019-05-08 00:00:00",24,13,30.285714285714285,
"2019-05-09 00:00:00",18,13,30.857142857142858,
"2019-05-10 00:00:00",24,8,31.142857142857142,
"2019-05-11 00:00:00",17,17,31.714285714285715,
"2019-05-12 00:00:00",19,15,32.857142857142854,
"2019-05-13 00:00:00",19,15,33,
"2019-05-14 00:00:00",20,13,33.57142857142857,
"2019-05-15 00:00:00",23,8,32.714285714285715,
"2019-05-16 00:00:00",19,9,32.285714285714285,
"2019-05-17 00:00:00",20,11,32.142857142857146,
"2019-05-18 00:00:00",20,9,31.428571428571427,
"2019-05-19 00:00:00",25,8,31.285714285714285,
"2019-05-20 00:00:00",11,12,29.714285714285715,
"2019-05-21 00:00:00",13,18,29.428571428571427,
"2019-05-22 00:00:00",23,9,29.571428571428573,
"2019-05-23 00:00:00",21,8,29.714285714285715,
"2019-05-24 00:00:00",19,13,29.857142857142858,
"2019-05-25 00:00:00",14,16,30,
"2019-05-26 00:00:00",18,9,29.142857142857142,
"2019-05-27 00:00:00",14,14,29.857142857142858,
"2019-05-28 00:00:00",17,11,29.428571428571427,
"2019-05-29 00:00:00",24,7,29.285714285714285,
"2019-05-30 00:00:00",14,17,29.571428571428573,
"2019-05-31 00:00:00",17,12,29.142857142857142,
"2019-06-01 00:00:00",19,12,29.285714285714285,
"2019-06-02 00:00:00",21,13,30.285714285714285,
"2019-06-03 00:00:00",15,14,30.428571428571427,
"2019-06-04 00:00:00",11,15,30.142857142857142,
"2019-06-05 00:00:00",24,9,30.428571428571427,
"2019-06-06 00:00:00",22,14,31.142857142857142,
"2019-06-07 00:00:00",17,15,31.571428571428573,
"2019-06-08 00:00:00",17,16,31.857142857142858,
"2019-06-09 00:00:00",22,7,31.142857142857142,
"2019-06-10 00:00:00",16,14,31.285714285714285,
"2019-06-11 00:00:00",18,11,31.714285714285715,
"2019-06-12 00:00:00",17,13,31.285714285714285,
"2019-06-13 00:00:00",15,9,29.571428571428573,
"2019-06-14 00:00:00",20,11,29.428571428571427,
"2019-06-15 00:00:00",19,8,28.571428571428573,
"2019-06-16 00:00:00",20,13,29.142857142857142,
"2019-06-17 00:00:00",20,7,28.714285714285715,
"2019-06-18 00:00:00",11,15,28.285714285714285,
"2019-06-19 00:00:00",17,12,28.142857142857142,
"2019-06-20 00:00:00",18,14,29.285714285714285,
"2019-06-21 00:00:00",22,13,29.857142857142858,
"2019-06-22 00:00:00",19,9,30,
"2019-06-23 00:00:00",14,15,29.428571428571427,
"2019-06-24 00:00:00",23,12,30.571428571428573,
"2019-06-25 00:00:00",16,13,31,
"2019-06-26 00:00:00",20,15,31.857142857142858,
"2019-06-27 00:00:00",15,12,31.142857142857142,
"2019-06-28 00:00:00",19,10,30.285714285714285,
"2019-06-29 00:00:00",17,13,30.571428571428573,
"2019-06-30 00:00:00",19,10,30.571428571428573,
"2019-07-01 00:00:00",20,9,29.714285714285715,
"2019-07-02 00:00:00",15,13,29.571428571428573,
"2019-07-03 00:00:00",18,12,28.857142857142858,
"2019-07-04 00:00:00",18,13,29.428571428571427,
"2019-07-05 00:00:00",20,9,29.428571428571427,
"2019-07-06 00:00:00",16,14,29.428571428571427,
"2019-07-07 00:00:00",22,11,30,
"2019-07-08 00:00:00",14,14,29.857142857142858,
"2019-07-09 00:00:00",20,13,30.571428571428573,
"2019-07-10 00:00:00",17,12,30.428571428571427,
"2019-07-11 00:00:00",16,13,30.142857142857142,
"2019-07-12 00:00:00",22,10,30.571428571428573,
"2019-07-13 00:00:00",18,10,30.285714285714285,
"2019-07-14 00:00:00",23,10,30.285714285714285,
"2019-07-15 00:00:00",16,14,30.571428571428573,
"2019-07-16 00:00:00",17,9,29.571428571428573,
"2019-07-17 00:00:00",20,13,30.142857142857142,
"2019-07-18 00:00:00",18,11,30.142857142857142,
"2019-07-19 00:00:00",22,8,29.857142857142858,
"2019-07-20 00:00:00",20,14,30.714285714285715,
"2019-07-21 00:00:00",19,11,30.285714285714285,
"2019-07-22 00:00:00",18,12,30.285714285714285,
"2019-07-23 00:00:00",15,16,31,
"2019-07-24 00:00:00",17,15,30.857142857142858,
"2019-07-25 00:00:00",19,11,31,
"2019-07-26 00:00:00",24,6,31,
"2019-07-27 00:00:00",20,15,31.142857142857142,
"2019-07-28 00:00:00",26,7,31.571428571428573,
"2019-07-29 00:00:00",18,13,31.714285714285715,
"2019-07-30 00:00:00",20,9,31.428571428571427,
"2019-07-31 00:00:00",21,9,31.142857142857142,
"2019-08-01 00:00:00",20,9,31,
"2019-08-02 00:00:00",22,11,31.428571428571427,
"2019-08-03 00:00:00",21,9,30.714285714285715,
"2019-08-04 00:00:00",15,11,29.714285714285715,
"2019-08-05 00:00:00",22,9,29.714285714285715,
"2019-08-06 00:00:00",18,13,30,
"2019-08-07 00:00:00",25,11,30.857142857142858,
"2019-08-08 00:00:00",26,9,31.714285714285715,
"2019-08-09 00:00:00",27,10,32.285714285714285,
"2019-08-10 00:00:00",17,20,33.285714285714285,
"2019-08-11 00:00:00",21,11,34.142857142857146,
"2019-08-12 00:00:00",20,16,34.857142857142854,
"2019-08-13 00:00:00",16,21,35.714285714285715,
